"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.03" "0.99" "0.0075" "2.0739597171256" "1.89932748395921" "-0.153892635995134"
"0.03" "1" "0.0075" "2.08004041312197" "1.8816420565228" "-0.198398356599169"
"0.07" "0.83" "0.0075" "2.39403776789695" "2.195563938144" "0.208512590789534"
"0.07" "0.84" "0.0075" "2.40528530411439" "2.17208695840904" "0.151647302952956"
"0.07" "0.85" "0.0075" "2.41607641423944" "2.14900573621591" "0.0953407841123814"
"0.07" "0.86" "0.0075" "2.42643771361809" "2.12631452217186" "0.0395780884603014"
"0.07" "0.86" "0.01" "2.23510484984968" "2.12638719752476" "0.20419702665403"
"0.07" "0.87" "0.0075" "2.43639377372421" "2.10400729090437" "-0.0156552922356945"
"0.07" "0.87" "0.01" "2.24509278574213" "2.10407331337578" "0.150842589780123"
"0.07" "0.88" "0.0075" "2.44596732466403" "2.08207780210049" "-0.0703734436038608"
"0.07" "0.88" "0.01" "2.25469671762408" "2.08213775876437" "0.098004647255181"
"0.07" "0.89" "0.0075" "2.45517943321142" "2.06051965278054" "-0.124590042777616"
"0.07" "0.89" "0.01" "2.2639378075618" "2.0605740731301" "0.0456694244001024"
"0.07" "0.9" "0.0075" "2.46404966000553" "2.03932632205377" "-0.178318371951205"
"0.07" "0.9" "0.01" "2.2728357029351" "2.03937568432842" "-0.00617644831316522"
"0.07" "0.91" "0.0075" "2.47259619893308" "2.01849120942791" "-0.231571331601193"
"0.07" "0.91" "0.01" "2.28140867658123" "2.01853594615472" "-0.0575459495341963"
"0.07" "0.92" "0.0075" "2.48083600123154" "1.99800766756542" "-0.284361453567595"
"0.07" "0.92" "0.01" "2.28967375161417" "1.99804817043298" "-0.108451681052062"
"0.07" "0.93" "0.0075" "2.48878488645769" "1.97786903025507" "-0.336700914150584"
"0.07" "0.93" "0.01" "2.29764681305042" "1.97790565440731" "-0.158905881729584"
"0.07" "0.94" "0.0075" "2.49645764216017" "1.95806863625481" "-0.388601547375749"
"0.07" "0.94" "0.01" "2.30534270806958" "1.95810170408577" "-0.208920441499633"
"0.07" "0.95" "0.0075" "2.50386811384972" "1.9385998495654" "-0.440074858591828"
"0.07" "0.95" "0.01" "2.31277533649953" "1.93862965407558" "-0.258506915598973"
"0.07" "0.96" "0.0075" "2.51102928667664" "1.9194560766162" "-0.491132038593371"
"0.07" "0.96" "0.01" "2.31995773293108" "1.91948288439003" "-0.307676539223806"
"0.07" "0.97" "0.0075" "2.51795336009517" "1.90063078077699" "-0.54178397851533"
"0.07" "0.97" "0.01" "2.32690214173783" "1.90065483462664" "-0.356440242859049"
"0.07" "0.98" "0.0075" "2.52465181671908" "1.88211749455155" "-0.592041285833147"
"0.07" "0.98" "0.01" "2.33362008620009" "1.88213901587016" "-0.404808668605929"
"0.07" "0.99" "0.0075" "2.53113548656634" "1.86390982976335" "-0.641914301937331"
"0.07" "0.99" "0.01" "2.3401224329175" "1.86392902061966" "-0.45279218796867"
"0.07" "1" "0.0075" "2.53741460796834" "1.84600148599625" "-0.691413121972097"
"0.07" "1" "0.01" "2.34641945276738" "1.84601853100518" "-0.500400921762206"
"0.07" "1.01" "0.0075" "2.5434978631007" "1.8283862544858" "-0.740546587245905"
"0.07" "1.01" "0.01" "2.35251986900862" "1.82840132380072" "-0.547643743897989"
"0.07" "1.02" "0.0075" "2.54939632722153" "1.81105803543749" "-0.789326218328466"
"0.07" "1.02" "0.01" "2.35843476320728" "1.81107128247216" "-0.594532175999265"
"0.07" "1.03" "0.0075" "2.55511793027356" "1.79401082549986" "-0.837760642681908"
"0.07" "1.03" "0.01" "2.36417209229606" "1.79402239189893" "-0.641074863166012"
"0.07" "1.04" "0.0075" "2.56067111329883" "1.77723873228194" "-0.885859225548848"
"0.07" "1.04" "0.01" "2.36974031183809" "1.77724874795393" "-0.687281176357684"
"0.07" "1.05" "0.0075" "2.56606403187917" "1.76073597430746" "-0.933631259165672"
"0.07" "1.05" "0.01" "2.37514758510356" "1.76074455849974" "-0.733160405858998"
"0.07" "1.06" "0.0075" "2.57130464359793" "1.74449688290875" "-0.981086039305052"
"0.07" "1.06" "0.01" "2.38040186820968" "1.74450414518102" "-0.778721835121249"
"0.07" "1.07" "0.0075" "2.57640082401172" "1.72851590349018" "-1.02823297820236"
"0.07" "1.07" "0.01" "2.38551102208334" "1.72852194458638" "-0.823974849042795"
"0.07" "1.08" "0.0075" "2.58136053434232" "1.71278759623531" "-1.0750817808544"
"0.07" "1.08" "0.01" "2.39048297296408" "1.71279250887088" "-0.868929101930333"
"0.07" "1.09" "0.0075" "2.58619208579038" "1.69730663633045" "-1.12164273718106"
"0.07" "1.09" "0.01" "2.39532596336534" "1.69731050590841" "-0.913594794159816"
"0.07" "1.1" "0.0075" "2.59090481879456" "1.68206781428932" "-1.16792748638469"
"0.07" "1.1" "0.01" "2.40004903642276" "1.68207071911038" "-0.957983220954661"
"0.1" "0.77" "0.0066666666666667" "2.79139546763916" "2.32383424844259" "0.174459738360438"
"0.1" "0.78" "0.0066666666666667" "2.80623540380298" "2.29770855065694" "0.108844935690616"
"0.1" "0.79" "0.0066666666666667" "2.82039260715477" "2.27200095202438" "0.0438907923721135"
"0.1" "0.79" "0.0083333333333333" "2.57311487162465" "2.2720687066228" "0.239307958039329"
"0.1" "0.8" "0.0066666666666667" "2.8339137389011" "2.24670992844666" "-0.0204210626742176"
"0.1" "0.8" "0.0083333333333333" "2.58674455122058" "2.24676949371693" "0.177373852740462"
"0.1" "0.8" "0.006" "2.97159197946146" "2.24669824235044" "-0.130575341218726"
"0.1" "0.8" "0.007" "2.77498443313442" "2.24671941157341" "0.0267318650658783"
"0.1" "0.8" "0.0075" "2.69648716002276" "2.24673646083294" "0.0895467328147364"
"0.1" "0.8" "0.008" "2.62787329736819" "2.24675576151423" "0.144457123619678"
"0.1" "0.8" "0.009" "2.51368943790657" "2.24679819375234" "0.235846643427082"
"0.1" "0.81" "0.0066666666666667" "2.84684109916164" "2.22183292792855" "-0.0841083623923771"
"0.1" "0.81" "0.0083333333333333" "2.59977497812782" "2.22188527943316" "0.116067547149622"
"0.1" "0.81" "0.01" "2.43557352568044" "2.22195070375242" "0.249136147951258"
"0.1" "0.81" "0.01" "2.43557291540508" "2.22195070129113" "0.249136639813012"
"0.1" "0.82" "0.0066666666666667" "2.8592138527741" "2.19736655066236" "-0.147188808612403"
"0.1" "0.82" "0.0083333333333333" "2.61224377680813" "2.19741251822476" "0.0553726212420913"
"0.1" "0.82" "0.01" "2.44807835380322" "2.19747077216287" "0.190046522044235"
"0.1" "0.82" "0.01" "2.44807772503593" "2.19747076971765" "0.190047035188183"
"0.1" "0.83" "0.0066666666666667" "2.87106581251438" "2.17330667295944" "-0.2096779514275"
"0.1" "0.83" "0.0083333333333333" "2.62418707392601" "2.17334699002625" "-0.00472828133233572"
"0.1" "0.83" "0.01" "2.46005618337257" "2.17339882978903" "0.131552197589797"
"0.1" "0.83" "0.01" "2.4600555321209" "2.17339882734512" "0.131552735684772"
"0.1" "0.84" "0.0066666666666667" "2.88242982518008" "2.14964860719085" "-0.271592445960413"
"0.1" "0.84" "0.0083333333333333" "2.63563739724142" "2.14968390657477" "-0.064251507108021"
"0.1" "0.84" "0.01" "2.47153958795481" "2.14972999826966" "0.0736367443876218"
"0.1" "0.85" "0.0066666666666667" "2.89333545782148" "2.12638718438866" "-0.332947954759597"
"0.1" "0.85" "0.0083333333333333" "2.64662463099996" "2.12641801827924" "-0.123212918070724"
"0.1" "0.85" "0.01" "2.48255850071571" "2.12645895011108" "0.0162842245027304"
"0.1" "0.86" "0.0066666666666667" "2.90380994650464" "2.10351685053649" "-0.393759703457505"
"0.1" "0.86" "0.0083333333333333" "2.65717630560846" "2.1035437022247" "-0.181627920598581"
"0.1" "0.86" "0.01" "2.49314050206225" "2.10357999481724" "-0.0405208369562939"
